sample_date,repo_id,repo_full_name,owner,repo_name,repo_url,source,sample_query,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,default_branch,archived,disabled,fork,has_readme,readme_fetch_status,readme_status_code,readme_hash,readme_word_count,readme_char_count,readme_heading_count,readme_link_count,readme_image_count,readme_code_block_count,readme_headings,rubric_version,has_overview_signal,has_setup_signal,has_usage_signal,has_features_signal,has_visuals_signal,has_architecture_signal,has_data_methods_signal,has_results_signal,has_tests_signal,has_license_signal,has_deployment_signal,has_contact_signal,readme_score,readiness_level,sections_found,sections_missing,overview_score,setup_score,usage_score,features_score,visuals_score,architecture_score,data_methods_score,results_score,tests_score,license_score,deployment_score,contact_score,processed_at
2026-06-07,1028496120,feiniao25789/feiniao-vpn,feiniao25789,feiniao-vpn,https://github.com/feiniao25789/feiniao-vpn,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,7,0,7,0,2025-07-29T16:02:55Z,2026-06-07T17:38:36Z,2026-06-07T17:38:32Z,main,False,False,False,True,fetched,200,86cb1c1aae56c012fd743aee3a91bb0f21543ada256783b058ba506c0e663a54,132,921,4,11,1,0,"['feiniao-vpn', '安装教程', 'Android不同手机防掉线', '常见问题']",builder_showcase_readme_v1,True,False,False,False,True,False,False,False,False,False,False,False,20.0,minimal,"['overview', 'visuals']","['setup', 'usage', 'features', 'architecture', 'data_methods', 'results', 'tests', 'license', 'deployment', 'contact']",1,0,0,0,1,0,0,0,0,0,0,0,2026-06-07T17:41:42.132049+00:00
2026-06-07,953658538,moritztng/tt-bio,moritztng,tt-bio,https://github.com/moritztng/tt-bio,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,98,12,98,3,2025-03-23T21:08:48Z,2026-06-07T17:38:36Z,2026-06-07T17:38:32Z,main,False,False,False,True,fetched,200,8b96a3ae2d7722ec87a71b6adfb0951c43283f2a7b80fc1ead4ca61ec796b311,2602,20817,31,11,0,31,"['Installation', 'Advanced Install (editable local clone)', 'Optional: Build TT-Metal / TT-NN from Source', 'Verify Installation', 'Basic Usage', 'Structure Prediction', 'Offline MSA (Optional)', 'Binding Affinity Prediction (Boltz-2)', 'Input Format', 'Understanding Results', 'Output Structure', 'Confidence Scores', 'Affinity Predictions', 'Advanced Usage', 'Input Format Details', 'Proteins with Custom MSA', 'Proteins with Modifications', 'Ligands', 'Constraints', 'Templates', 'Command-Line Options', 'MSA Server Authentication', 'Optional: Multi-Machine Prediction', 'Optional: Energy Measurement (Boltz-2)', 'BoltzGen', 'Input Format', 'Protocols', 'Running a Subset', 'Command-Line Options', 'Cite', 'License']",builder_showcase_readme_v1,False,True,True,True,False,True,True,True,True,True,False,True,75.3,strong,"['setup', 'usage', 'features', 'architecture', 'data_methods', 'results', 'tests', 'license', 'contact']","['overview', 'visuals', 'deployment']",0,1,1,1,0,1,1,1,1,1,0,1,2026-06-07T17:41:43.917266+00:00
2026-06-07,1153178500,jgravelle/jcodemunch-mcp,jgravelle,jcodemunch-mcp,https://github.com/jgravelle/jcodemunch-mcp,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,1899,294,1899,1,2026-02-09T01:58:27Z,2026-06-07T17:38:34Z,2026-06-07T17:38:31Z,main,False,False,False,True,fetched,200,54c80e1a1e9652f001181ffaa653d50c36b580122928b5df3694486dba242134,6828,50452,78,55,13,28,"['One-click installs:', 'FREE FOR PERSONAL USE', 'Cut code-reading token usage by **95% or more**', 'Documentation', 'Compact output — the second token axis (MUNCH)', 'any tool call accepts format=', 'auto  — emit compact if savings ≥ 15%, otherwise JSON', 'compact — always compact', 'json    — never compact (back-compat passthrough)', 'jCodeMunch MCP', 'Structured code retrieval for serious AI agents', ""What's new"", 'Mentioned by', 'Real-world results', 'Reproducible token efficiency benchmark', 'A/B test on production codebase', 'Why agents need this', 'What you get', 'Symbol-level retrieval', 'Faster repo understanding', 'Lower token spend', ""Structural queries native tools can't answer"", 'Agent config hygiene', 'Symbol provenance and PR risk profiling', 'Cross-language AST pattern matching', 'Multi-axis constraint queries', 'Better engineering workflows', 'Refactoring Planner', 'Calibrated retrieval signals (v1.74.0+ telemetry initiative)', 'Local-first speed', 'How it works', 'Start fast', 'Option A: One command (recommended)', 'Option B: Manual setup', '1. Install it', '2. Add it to your MCP client', 'Windows', 'macOS/Linux — check `which jcodemunch-mcp` first', '3. Tell your agent to actually use it', 'Starter Packs', 'List available packs', 'Install a free pack', 'Install a licensed pack', 'Groq Integration', 'speedreview — AI Code Review GitHub Action', '.github/workflows/speedreview.yml', 'gcm — Codebase Q&A CLI', 'Ask about a GitHub repo (auto-indexes on first use)', 'Ask about the current directory', 'Interactive chat mode', 'Use the fast 8B model', 'gcm --voice — Voice-to-Codebase', 'Voice conversation with a codebase', 'Press Enter to start recording, Enter again to stop', 'Or type a question directly as text fallback', 'gcm explain — Auto Repo Explainer', 'Generate a 60-second narrated explainer', 'With verbose timing', 'Configuration', 'Quick setup', 'Config file locations', 'Token-control levers (reduce schema tokens per turn)', 'Tool Tiering', 'Tiers (configurable)', 'Runtime switching (opt-in, zero extra requests)', '`disabled_tools` precedence', 'Architecture layer enforcement (`architecture.layers`)', 'Deprecated env vars (v2.0 will remove)', 'When does it help?', 'Best for', 'New here?', 'Works with', 'During the PyPI review (#308) install from the repo; revert to', '`-U jcodemunch-mcp` once the package is back on PyPI.', '~/.codex/config.toml', '(no args required)', '~/.hermes/config.yaml', 'Star History']",builder_showcase_readme_v1,True,True,True,True,True,True,True,True,True,True,True,False,95.25,showcase_ready,"['overview', 'setup', 'usage', 'features', 'visuals', 'architecture', 'data_methods', 'results', 'tests', 'license', 'deployment']",['contact'],1,1,1,1,1,1,1,1,1,1,1,0,2026-06-07T17:41:45.751709+00:00
2026-06-07,1147208835,chenxi750328ai/agent-jianghu,chenxi750328ai,agent-jianghu,https://github.com/chenxi750328ai/agent-jianghu,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,5,1,5,7,2026-02-01T11:37:49Z,2026-06-07T17:38:34Z,2026-06-07T17:38:31Z,main,False,False,False,True,fetched,200,5834c212d433cc7082c1f3a215ad8e20831d9dadbc21a15ca040f668ae94d840,433,3585,11,23,2,0,"['项目总览', '给 AI 助手：README · AGENTS.md · SKILLS.md（各自干啥）', '📁 根目录结构', '开发与 Git（项目要求）', '📋 项目列表', '1. agentfuture（agent江湖）', '2. tigertrade（TigerTrade）', '📚 协议文档说明', 'agentfuture协议', 'TigerTrade协议', '🔗 快速链接']",builder_showcase_readme_v1,True,False,False,False,True,True,False,False,True,False,True,False,42.9,thin,"['overview', 'visuals', 'architecture', 'tests', 'deployment']","['setup', 'usage', 'features', 'data_methods', 'results', 'license', 'contact']",1,0,0,0,1,1,0,0,1,0,1,0,2026-06-07T17:41:47.483096+00:00
2026-06-07,1192353454,ChengjinLii/studyhub,ChengjinLii,studyhub,https://github.com/ChengjinLii/studyhub,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,14,1,14,1,2026-03-26T06:06:54Z,2026-06-07T17:38:34Z,2026-06-07T17:38:30Z,main,False,False,False,True,fetched,200,d153a6c96df925096b922117299145934916eaf144bd1ebb222f0c8375fadb5c,363,2707,12,14,8,0,"['StudyHub', '核心功能', '技术栈', 'RESTful API 设计', '仓库结构', '快速开始', '参与贡献', '核心贡献者', '其他贡献者', '相关项目', '未来规划', 'License']",builder_showcase_readme_v1,True,False,False,False,True,False,True,False,False,True,False,False,34.35,thin,"['overview', 'visuals', 'data_methods', 'license']","['setup', 'usage', 'features', 'architecture', 'results', 'tests', 'deployment', 'contact']",1,0,0,0,1,0,1,0,0,1,0,0,2026-06-07T17:41:49.495386+00:00
2026-06-07,1070192329,pdftl/pdftl,pdftl,pdftl,https://github.com/pdftl/pdftl,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,7,1,7,0,2025-10-05T13:07:03Z,2026-06-07T17:38:31Z,2026-06-07T17:38:28Z,main,False,False,False,True,fetched,200,24fc39eeea3a0cf515468998e4ef96da934ad0b0ac96a7fd18509c74874d51bd,3381,31306,34,161,6,12,"['pdftl', 'Quick start', 'merge, crop to letter paper, rotate last page and output with encryption with one command', 'Key features and `pdftk` compatibility', 'Installation', 'Key features', '📄 Standard operations', '✂️ Geometry & splitting', '📝 Text, Forms & annotations', '🔐 Security', '🛠️ Advanced', 'Examples', 'Concatenation', 'Merge two files', 'Now with in2.pdf zoomed in', 'Geometry', 'Take pages 1-5, rotate them 90 degrees East, and crop to A4', 'Pipelining', 'Burst a file, but rotate and stamp every page first', 'Forms and metadata', 'Fill a form and flatten it (make it non-editable)', 'Modify annotations', 'Change all Highlight annotations on odd pages to Red', 'Modify content', 'Add a watermark, the pdftk way', 'Add an obnoxious semi-transparent red watermark on odd pages only', 'Add Bates numbering starting at 000121', 'Result: DEF-000121, DEF-000122, ...', 'Content stream replacement with regular expressions (YMMV)', 'Change black to red', 'Python API', 'Chain operations fluently without saving intermediate files', 'Operations and options', 'Links']",builder_showcase_readme_v1,True,True,True,True,True,True,True,True,True,True,False,True,94.3,showcase_ready,"['overview', 'setup', 'usage', 'features', 'visuals', 'architecture', 'data_methods', 'results', 'tests', 'license', 'contact']",['deployment'],1,1,1,1,1,1,1,1,1,1,0,1,2026-06-07T17:41:51.386711+00:00
2026-06-07,1076407615,Peuqui/AIfred-Intelligence,Peuqui,AIfred-Intelligence,https://github.com/Peuqui/AIfred-Intelligence,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,32,2,32,1,2025-10-14T20:18:27Z,2026-06-07T17:38:31Z,2026-06-07T17:38:27Z,main,False,False,False,True,fetched,200,d669ebc7c083ee562ff01dccebe84ff650baee3f49fd7c40ad55f3601ddeba05,13352,109306,176,35,2,65,"['AIfred Intelligence', '✨ Features', '🧠 Autonomous Capabilities (Function Calling / Tool Use)', '🎩 Multi-Agent System', '⚙️ LLM Infrastructure', '🎤 Voice Interface', '👁️ Vision', '🔍 Vigilantia (Camera Surveillance)', '📷 Image Analysis (Chat)', '🔒 Security Architecture', '🖥️ UI & Session Management', '🎩 Multi-Agent Discussion Modes', '🔧 Technical Highlights', '🔊 Voice Interface (TTS Engines)', '☁️ Cloud API Support', '⚠️ Model Recommendations', '🔄 Research Mode Workflows', '📊 LLM Calls Overview', '🔄 Pre-Processing (all modes)', '1️⃣ Own Knowledge Mode (Direct LLM)', '2️⃣ Automatik Mode (AI Decision System)', 'Phase 1: Vector Cache Check (Volatility-Aware)', 'Phase 2: Keyword Override Check', 'Phase 3: Automatik Decision (Combined LLM Call)', 'Phase 4: Direct LLM Answer (if decision = no)', 'History & Context Usage Summary (Automatik Mode)', '3️⃣ Quick Web Search Mode (Quick Research)', 'Phase 1: Vector Cache Check (Volatility-Aware)', 'Phase 2: Query Generation + Multi-API Web Search', 'Phase 2.5: URL Filtering + LLM-based Ranking (v2.15.30)', 'Phase 3: Parallel Web Scraping', 'Phase 4: Context Building + LLM Response', '4️⃣ Deep Web Search Mode (Deep Research)', 'Scraping Strategy', 'Context Size', '🔀 Decision Flow Diagram', '📁 Code Structure Reference', '📝 Automatik-LLM Prompts Reference', '🌐 REST API (Browser Remote Control)', 'Architecture: Browser as Execution Engine', 'Per-Session Config SSOT', 'Voice Mode Switching', 'Key Features', 'API Endpoints', 'Browser Synchronization', 'Example Usage', 'Get current global settings', 'Change model (global setting)', 'Switch a session to Tribunal mode (per-session config)', 'All tabs viewing this session detect the change automatically.', 'Switch agent + research mode in one call', 'Inject a message (browser runs full pipeline)', 'Poll until inference is complete', 'Returns: {""is_generating"": false, ""message_count"": 5}', 'Get the response', 'List all browser sessions (to get device_id)', 'Use Cases', '🚀 Installation', 'Prerequisites', 'Setup', 'or', 'Install Playwright browser (for JS-heavy pages).', 'Use --with-deps to also install system libraries (libnss3 etc.) — requires sudo.', 'Plain `playwright install chromium` works too but the headless browser may', 'fail to start later if libnss3/libxkbcommon0/etc. are missing.', 'playwright install chromium                              # binary-only (no system libs)', 'Apply the Reflex frontend_path routing patch', 'API Keys for web research', 'Ollama configuration', 'Cloud LLM API Keys (optional - only needed if using cloud backends)', 'Embedding model (required for Vector Cache / Documents / Memory)', 'Recommended core models — pick what fits your VRAM:', 'Recommended models:', '- Qwen3-8B-AWQ (~5GB, 40K→128K with YaRN)', '- Qwen3-14B-AWQ (~8GB, 32K→128K with YaRN)', '- Qwen2.5-14B-Instruct-AWQ (~8GB, 128K native)', 'Start vLLM server with YaRN (64K context)', 'Not yet fully implemented', 'See: https://github.com/theroyallab/tabbyAPI', 'Install Docker Compose v2 (if not already installed)', ""Verify it's healthy"", 'Should show: (healthy) in status', 'Test API v2', '⚙️ Backend Switching & Settings', 'Multi-Backend Support', 'GPU Compatibility Detection', 'Settings Persistence', 'Reasoning Mode (Chain-of-Thought)', '🏗️ Architecture', 'Directory Structure', 'History Compression System', 'Vector Cache & RAG System', 'Cache Decision Logic', 'Semantic Deduplication', 'Cache Distance Thresholds', 'ChromaDB Maintenance Tool', 'Show stats', 'Find duplicates', 'Remove duplicates (Dry-Run)', 'Remove duplicates (Execute)', 'Delete old entries (> 30 days)', 'TTL-Based Cache System (Volatility)', 'Configuration', 'Cache Distance Thresholds', 'Volatility-aware Phase-0 cache acceptance — researched in', ""research_tools.py *after* ChromaDB's source=CACHE response. Stable"", 'knowledge tolerates wider semantic matches; news-class topics need', 'a tight threshold to avoid serving outdated facts under a slightly', 'different wording. NOCACHE entries are never written.', 'TTL (Time-To-Live)', '🔧 Configuration', 'History Compression (dynamic, percentage-based)', 'Intent-based Temperature', 'Backend-specific Default Models (in BACKEND_DEFAULT_MODELS)', 'Ollama: qwen3:4b-instruct-2507-q4_K_M (Automatik), qwen3-vl:8b (Vision)', 'vLLM: cpatonn/Qwen3-4B-Instruct-2507-AWQ-4bit, etc.', 'HTTP Timeout Configuration', 'Restart Button Behavior', '📦 Deployment', 'Systemd Service', 'Quick Installation', '1. Copy service files', '2. Enable and start services', '3. Check status', '4. Create first user (required for login)', 'Then register in the web UI with username + password', 'llama-swap restart helper', 'Discord Channel Setup', 'User Management (aifred-admin CLI)', 'Service Files (Reference)', 'Environment Configuration (.env)', 'Environment Mode (required for production)', 'Backend API URL for external access via nginx reverse proxy', 'Set this to your external domain/IP for HTTPS access', 'API Keys for web search (optional)', 'Ollama Configuration', 'IMPORTANT: Set OLLAMA_NUM_PARALLEL=1 in Ollama service config (see Performance section below)', 'Backend URL for static files (HTML Preview, Images)', 'With NGINX: Leave empty or omit - NGINX routes /_upload/ to backend', 'Without NGINX (dev): Set to backend URL for direct access', 'BACKEND_URL=http://localhost:8002', 'Cloud LLM API Keys (optional - only needed if using cloud backends)', 'Set in .env:', 'Or remove --env prod from the systemd service', '⚠️ Multi-User Capabilities & Limitations', '✅ What Works (Concurrent Users)', '⚠️ What Is Shared (Global State)', '🎯 Practical Usage Scenarios', '📊 Memory & Session Management', '🔧 Design Rationale', '🛡️ Recommendations for Multi-User Setup', '🚫 What AIfred Is NOT', '✅ What AIfred IS', '🛠️ Development', 'Debug Logs', 'Code Quality Checks', 'Syntax check', 'Linting with Ruff', 'Type checking with mypy', '⚡ Performance Optimization', 'Ollama: OLLAMA_NUM_PARALLEL=1 (Critical for Single-User)', 'Create override directory', 'Create override file', 'Apply changes', 'llama.cpp vs Ollama Performance Comparison', '🔨 Troubleshooting', 'Common Issues', 'HTTP ReadTimeout on Research Requests', ""Service Won't Start"", 'Check logs', 'Check Ollama status', 'Restart Button Not Working', '📚 Documentation', 'Star History', '📄 License', '☕ Support']",builder_showcase_readme_v1,True,True,True,True,True,True,True,True,True,True,True,True,100.0,showcase_ready,"['overview', 'setup', 'usage', 'features', 'visuals', 'architecture', 'data_methods', 'results', 'tests', 'license', 'deployment', 'contact']",[],1,1,1,1,1,1,1,1,1,1,1,1,2026-06-07T17:41:53.240252+00:00
2026-06-07,377261499,per2jensen/dar-backup,per2jensen,dar-backup,https://github.com/per2jensen/dar-backup,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,41,4,41,0,2021-06-15T18:38:03Z,2026-06-07T17:38:31Z,2026-06-07T17:38:27Z,main,False,False,False,True,fetched,200,06dcacf89f2419c39520c48dafc3431d7f1c0d7deec69098e9fa33960319b524,3313,21971,28,49,9,10,"['`dar-backup`', 'TL;DR', 'prep', 'install and run dar-backup', 'A personal digital preservation system', 'Recovery confidence over storage efficiency', 'Why independent archives matter', 'Features', 'Dashboard', 'High-level architecture', 'Documentation', 'My use case', 'My setup', 'Why PAR2 is especially good for portable / offsite copies', 'Design choices', 'Quick Guide', 'dar-backup principles', 'dar-backup', 'cleanup', 'manager', 'How to run', 'Status', 'GPG Signing key', 'License', 'Requirements', 'Homepage - Github', 'Community', 'Projects these scripts benefit from']",builder_showcase_readme_v1,True,True,True,True,True,True,True,True,True,True,False,True,94.3,showcase_ready,"['overview', 'setup', 'usage', 'features', 'visuals', 'architecture', 'data_methods', 'results', 'tests', 'license', 'contact']",['deployment'],1,1,1,1,1,1,1,1,1,1,0,1,2026-06-07T17:41:55.009739+00:00
2026-06-07,1205861457,ropkiplagat/fxpulse,ropkiplagat,fxpulse,https://github.com/ropkiplagat/fxpulse,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,5,0,5,0,2026-04-09T10:56:06Z,2026-06-07T17:38:29Z,2026-06-07T17:38:26Z,main,False,False,False,True,fetched,200,b563fda34db91ed9e5c6ffe040842c3fa2c59df9dfef290a5f1003a4ac5da33b,719,5772,18,1,0,8,"['FXPulse — AI Forex Trading Bot', 'Features', 'Architecture', 'Requirements', 'Quick Start', '1. Install dependencies', '2. Secure your credentials', '3. Create required folders', '4. Train the AI model', '5. Run in paper trading mode (default)', '6. Run a backtest', 'Configuration', 'Dashboard Controls (terminal)', 'Web Dashboard (SiteGround)', 'Telegram Alerts', 'Symbols Traded', 'Risk Warning', 'License']",builder_showcase_readme_v1,True,True,True,True,True,True,True,True,True,True,True,False,94.25,showcase_ready,"['overview', 'setup', 'usage', 'features', 'visuals', 'architecture', 'data_methods', 'results', 'tests', 'license', 'deployment']",['contact'],1,1,1,1,1,1,1,1,1,1,1,0,2026-06-07T17:41:56.796008+00:00
2026-06-07,1044894570,karmyshunde-sudo/fish-etf,karmyshunde-sudo,fish-etf,https://github.com/karmyshunde-sudo/fish-etf,github_search_api,language:Python stars:>=5 pushed:>=2025-01-01,Python,5,4,5,0,2025-08-26T11:06:20Z,2026-06-07T17:38:36Z,2026-06-07T17:38:32Z,main,False,False,False,True,fetched,200,1b002ae51c6672c3160b868144c5a9db2cffa4ff8d8ebe9fc77ca55f86e96029,4,28,1,0,0,0,['fish-etf 千问Ver250831-2211'],builder_showcase_readme_v1,True,False,False,False,False,False,False,False,False,False,False,False,11.4,minimal,['overview'],"['setup', 'usage', 'features', 'visuals', 'architecture', 'data_methods', 'results', 'tests', 'license', 'deployment', 'contact']",1,0,0,0,0,0,0,0,0,0,0,0,2026-06-07T17:41:58.552756+00:00
